FoulIncidents,HomeTeam,AwayTeam,Matchday,FoulNo,TimeOfFoul,VictName,VictHeight,VictWeight,,PerpName,PerpHeight,PerpWeight,DifferencePerpVict,OutcomeVariable,FoulType,RefName,RefHeight,RefWeight,SecondRef,ThirdRef,GameNumber,,,,TallerAmongPlayers
125,,,,17,P2 - 00:32,"#20 MICHALAK, M.(OLD)",197,95,,"#9 BLECK, F.(CRA)",200,96,3,1,,RobertLOTTERMOSER,186,76,,,4,,,,Perp
126,,,,18,P2 - 00:02,"#3 HEIDEGGER, M.(OLD)",191,92,,"#11 KINDZEKA, R.(CRA)",185,86,-6,0,,RadeeshKATTUR,175,83,,,4,,,,Vict
127,,,,19,P3 - 08:36,"#21 ODIASE, T.(OLD)",206,111,,"#15 RADOSAVLJEVIC, B.(CRA)",213,117,7,1,,GentianCICI,178,74,,,4,,,,Perp
128,,,,20,P3 - 07:30,"#3 HEIDEGGER, M.(OLD)",191,92,,"#9 BLECK, F.(CRA)",200,96,9,1,,RadeeshKATTUR,175,83,,,4,,,,Perp
129,,,,21,P3 - 06:59,"#0 SHORTS, T.(CRA)",175,73,,"#35 PJANIC, A.(OLD)",202,90,27,1,,RadeeshKATTUR,175,83,,,4,,,,Perp
130,,,,22,P3 - 06:36,"#15 RADOSAVLJEVIC, B.(CRA)",213,117,,"#21 ODIASE, T.(OLD)",206,111,-7,0,,GentianCICI,178,74,,,4,,,,Vict
131,,,,23,P3 - 05:31,"#3 STUCKEY, M.(CRA)",187,88,,"#35 PJANIC, A.(OLD)",202,90,15,1,,RadeeshKATTUR,175,83,,,4,,,,Perp
132,,,,24,P3 - 04:11,"#0 SHORTS, T.(CRA)",175,73,,"#11 PRESSEY, P.(OLD)",180,82,5,1,,GentianCICI,178,74,,,4,,,,Perp
133,,,,25,P3 - 04:06,"#0 SHORTS, T.(CRA)",175,73,,"#12 BREUNIG, M.(OLD)",203,100,28,1,,RadeeshKATTUR,175,83,,,4,,,,Perp
134,,,,26,P3 - 03:57,"#22 HOLYFIELD, T.(OLD)",203,100,,"#9 BLECK, F.(CRA)",200,96,-3,0,,GentianCICI,178,74,,,4,,,,Vict
135,,,,27,P3 - 03:33,"#1 LEWIS, J.(CRA)",201,98,,"#20 MICHALAK, M.(OLD)",197,95,-4,0,,RobertLOTTERMOSER,186,76,,,4,,,,Vict
